gene_name number_of_transposon_per_gene number_of_read_per_gene
KEL1 22 381
TDA11 23 1375
PEX18 14 592
YAP1801 37 1772
MPC2 7 43
SOL3 5 62
DNA2 5 6
PRP8 12 110
YHR165W-A 3 33
CDC23 9 347
THP2 9 91
MTG2 8 13
DBP8 3 2
NMD3 2 1
ATG7 8 77
SPC97 25 895
YHR173C 31 1658
ENO2 21 704
CTR2 27 674
YHR175W-A 7 73
FMO1 52 2206
YHR177W 25 1294
STB5 12 62
OYE2 14 91
YHR180W 6 20
YHR180W-A 8 176
YHR180C-B 2 2
SVP26 4 81
YHR182W 50 2186
YHR182C-A 1 0
GND1 3 3
SSP1 35 1326
PFS1 13 120
KOG1 11 25
IKI1 6 67
GPI16 5 5
PTH1 2 1
ERG9 4 8
CTF8 1 0
LNP1 21 558
EGD2 14 718
YHR193C-A 4 46
MDM31 13 157
NVJ1 6 77
UTP9 8 26
RIX1 2 1
AIM18 20 768
AIM46 26 830
NBL1 0 0
RPN10 3 3
PPX1 9 127
YHR202W 35 925
RPS4B 4 16
MNL1 56 2313
SCH9 4 4
SKN7 15 734
SET5 29 1863
BAT1 26 774
CRG1 19 295
YHR210C 28 1211
FLO5 83 3196
YHR212C 1 0
YHR212W-A 2 1
YHR213W 0 0
YHR213W-A 0 0
YHR213W-B 4 8
YHR214W 0 0
YHR214W-A 1 0
YHR214C-D 1 0
YHR214C-E 2 2
PHO12 6 11
IMD2 9 72
YHR217C 23 106
YHR218W 35 44
YHR218W-A 2 1
YHR219W 12 12
YHR219C-A 2 1
YIL177C 79 140
YIL177W-A 4 3
PAU14 0 0
VTH1 31 1859
IMA3 8 9
YIL171W-A 2 1
YIL169C 20 622
YIL166C 50 2337
YIL165C 2 1
NIT1 21 942
YIL163C 22 1205
SUC2 37 3144
YIL161W 12 70
POT1 33 1286
BNR1 37 1488
AIM20 21 813
COA1 1 0
YIL156W-A 12 229
YIL156W-B 3 21
UBP7 51 3039
GUT2 48 1574
IMP2' 66 3115
RRD1 65 2769
YIL152W 26 1153
ESL1 39 1563
MCM10 12 307
MLP2 62 3617
RPL40A 5 6
SLN1 7 22
ATG32 27 548
PAN6 19 719
NDC80 4 4
SSL2 17 316
YIL142C-A 1 0
CCT2 4 6
YIL141W 15 91
AXL2 63 2572
REV7 16 324
TPM2 6 201
TMA108 53 2785
OM45 15 344
VHS2 26 830
YIL134C-A 10 171
FLX1 7 27
RPL16A 2 1
CSM2 39 1725
FKH1 30 1219
ASG1 34 568
TAO3 59 1320
MET18 18 238
RRT14 4 7
STH1 29 825
KGD1 15 353
AYR1 22 870
SIM1 72 2738
POG1 14 290
QDR2 42 1733
QDR1 56 1377
RPI1 17 244
RHO3 2 1
PRM5 22 519
HIS5 29 1271
YIL115W-A 4 54
NUP159 13 22
POR2 6 58
SDP1 23 1497
HOS4 31 1332
COX5B 9 90
HPM1 10 240
SEC24 7 10
YIL108W 59 2315
PFK26 35 1352
MOB1 8 109
SLM1 37 1547
YIL105W-A 7 150
SHQ1 6 8
DPH1 5 33
YIL102C-A 0 0
YIL102C 7 92
XBP1 33 1612
YIL100C-A 48 535
YIL100W 49 543
SGA1 51 2439
FMC1 8 490
FYV10 5 29
BMT5 22 719
PRK1 56 3172
LYS12 21 831
RSM25 13 291
YIL092W 42 2994
UTP25 4 3
ICE2 1 0
YIL089W 22 449
AVT7 45 1470
AIM19 19 361
YIL086C 15 771
KTR7 31 1386
SDS3 12 201
CAB2 6 276
YIL082W 13 414
AIR1 17 369
THS1 7 10
YIL077C 31 2375
SEC28 18 944
RPN2 11 263
SER33 37 1976
SPO22 66 2012
HOP1 32 561
YIL071W-A 3 28
PCI8 32 971
MAM33 8 269
RPS24B 7 73
YIL068W-A 8 370
SEC6 10 482
YIL067C 39 1076
YIL066W-A 9 71
RNR3 45 1775
FIS1 11 239
EFM4 24 576
YRB2 1 0
ARC15 2 5
SNP1 7 95
YIL060W 9 72
YIL059C 8 78
YIL058W 17 771
RGI2 11 103
VHR1 71 2431
YIL055C 55 3131
YIL054W 35 1480
GPP1 6 217
RPL34B 1 0
MMF1 18 466
PCL7 20 297
DFG10 2 1
NEO1 6 75
YIL047C-A 21 1724
SYG1 67 3933
YIL046W-A 50 2542
MET30 8 17
PIG2 45 1229
AGE2 27 385
CBR1 25 1385
PKP1 35 3062
GVP36 12 870
APQ12 3 3
TED1 24 770
NOT3 13 216
PRM2 52 2388
CST6 27 882
CKA1 32 597
CAP2 17 797
BCY1 10 66
YIL032C 14 716
ULP2 38 1235
YIL030W-A 34 674
SSM4 100 7018
YIL029W-A 9 361
YIL029C 13 210
YIL028W 3 5
EMC5 15 952
IRR1 22 826
YIL025C 9 140
YIL024C 20 1664
YKE4 56 4312
TIM44 3 2
RPB3 9 45
YIL021C-A 2 1
YIL020C-A 11 110
HIS6 29 1362
FAF1 7 105
RPL2B 5 102
VID28 38 1543
SNL1 21 395
BAR1 91 4417
YIL014C-A 7 304
MNT3 36 1091
PDR11 170 7177
YIL012W 52 2164
TIR3 40 895
DOT5 39 1772
EST3 33 1844
FAA3 134 8456
URM1 3 52
NAS2 46 2794
YIA6 86 3206
EPS1 198 10842
BET1 1 0
CFD1 25 1308
YIL002W-A 18 506
INP51 281 15006
YIL001W 197 13636
SGN1 68 2711
MPH1 311 22983
AIM21 173 6809
DJP1 80 4507
IST3 38 1184
PAN1 304 15454
YIR007W 129 8474
PRI1 1 0
MSL1 6 27
DSN1 17 599
STS1 8 274
SQT1 2 1
GAT4 42 3007
YIR014W 60 3244
RPR2 1 0
YIR016W 64 2110
MET28 94 6736
YIR017W-A 99 7175
YAP5 45 2477
YIR018C-A 16 357
FLO11 45 1027
YIR020C 8 184
YIR020W-A 14 358
YIR020C-B 9 56
MRS1 5 8
YIR021W-A 38 2767
SEC11 0 0
DAL81 60 2024
YIR023C-A 15 168
INA22 25 1007
MND2 36 1653
YVH1 13 746
DAL1 71 2411
DAL4 83 4125
DAL2 56 4135
DCG1 47 1484
YIR030W-A 13 407
DAL7 41 1572
DAL3 59 2366
MGA2 45 1628
LYS1 19 962
YIR035C 38 1902
IRC24 40 1766
YIR036W-A 12 289
HYR1 7 105
GTT1 19 832
YPS6 18 215
YIR040C 4 3
PAU15 1 0
YIR042C 16 278
YJL225C 83 124
YJL225W-A 3 2
PAU1 1 0
YJL222W-B 2 1
YJL222W-A 1 0
VTH2 34 561
IMA4 12 15
YJL220W 2 1
HXT9 20 537
YJL218W 6 190
REE1 15 642
IMA5 10 590
YJL215C 8 131
HXT8 31 1514
YJL213W 11 57
OPT1 47 1997
YJL211C 24 916
PEX2 37 1261
CBP1 8 15
NUC1 20 881
LAA1 75 3246
YJL206C 24 1370
NCE101 24 1075
RCY1 1 0
PRP21 7 85
YJL202C 9 573
ECM25 58 2031
ACO2 40 1182
MBB1 22 859
PHO90 62 3030
UBP12 61 3850
YJL197C-A 1 0
ELO1 21 146
YJL195C 0 0
CDC6 2 2
YJL193W 11 480
SOP4 26 767
RPS14B 23 943
RPS22A 4 16
RPL39 1 0
BUD19 0 0
SWE1 31 795
MNN5 38 880
ATG36 21 1200
GON7 0 0
MNN11 8 30
YJL182C 31 269
YJL181W 39 1077
ATP12 1 0
PFD1 3 7
ATG27 18 702
RPL17B 6 38
SWI3 8 465
YJL175W 4 55
KRE9 1 0
RFA3 0 0
CPS1 33 2058
YJL171C 12 342
ASG7 11 493
YJL169W 3 26
SET2 20 312
ERG20 1 0
QCR8 4 55
HAL5 30 855
TPK1 22 727
YJL163C 47 1900
JJJ2 35 1610
FMP33 27 667
YJL160C 15 288
HSP150 9 48
CIS3 14 312
FAR1 51 1672
YJL156W-A 28 1866
SSY5 3 2
FBP26 31 1023
VPS35 14 474
INO1 5 164
YJL152W 72 4828
SNA3 54 2999
YJL150W 22 570
DAS1 15 254
RPA34 11 281
YJL147C 3 6
IDS2 31 1210
SFH5 23 534
YJL144W 7 261
TIM17 0 0
IRC9 8 71
YAK1 18 404
RPB4 1 0
YUR1 28 321
TIF2 12 55
GLG2 32 854
YJL136W-A 7 72
RPS21B 3 2
YJL135W 22 1675
LCB3 41 1579
YJL133C-A 22 985
MRS3 25 419
YJL132W 48 2059
AIM23 5 19
URA2 113 5650
TRK1 18 580
PBS2 19 461
YJL127W-A 4 100
YJL127C-B 2 1
SPT10 31 1400
NIT2 7 147
GCD14 2 2
LSM1 0 0
MTC1 20 633
ALB1 3 87
RPE1 6 8
YJL120W 20 631
YJL119C 20 408
YJL118W 23 638
PHO86 15 87
NCA3 35 1344
ASF1 10 115
MDV1 35 1614
CCT7 5 77
GZF3 19 825
UTP10 14 26
PRM10 17 610
YJL107C 9 157
IME2 21 200
SET4 31 926
PAM16 5 24
GSM1 28 2125
MEF2 2 1
GSH1 13 139
LSB6 43 1840
CHS6 35 959
SAP185 46 2133
PHS1 0 0
MRPL49 0 0
BCK1 10 140
KHA1 58 2244
TOK1 26 576
SRS2 65 2326
GWT1 2 1
DPB11 5 5
SIP4 54 1031
ARG3 6 26
TRL1 1 0
YJL086C 31 1113
EXO70 6 7
ALY2 37 1832
TAX4 45 1328
IML2 31 1321
ARP4 0 0
SCP160 24 959
PRY1 18 794
PRY3 99 6294
YJL077W-B 1 0
ICS3 29 1476
YJL077W-A 2 8
NET1 48 1406
APQ13 18 564
SMC3 2 1
JEM1 40 1706
PSF2 1 0
ARG2 4 4
YJL070C 44 2203
UTP18 4 8
YJL068C 24 1586
YJL067W 17 790
MPM1 29 2077
DLS1 11 128
YJL064W 8 81
MRPL8 1 0
COA3 3 3
LAS21 3 2
NUP82 3 2
BNA3 19 420
YHC3 36 763
BIT61 30 1179
IKS1 28 899
ZAP1 9 221
YJL055W 42 1300
TIM54 10 238
PEP8 3 4
YJL052C-A 27 1782
TDH1 28 827
IRC8 95 5516
MTR4 7 7
YJL049W 18 540
UBX6 32 636
YJL047C-A 16 371
RTT101 23 532
AIM22 12 651
YJL045W 51 1912
GYP6 47 1326
YJL043W 79 4808
MHP1 83 3925
NSP1 0 0
NUP192 5 65
LOH1 16 210
IRC18 19 267
SNX4 6 53
TAD2 2 1
KAR2 4 3
HCA4 4 5
YJL032W 1 0
BET4 1 0
MAD2 50 4800
VPS53 18 474
YJL028W 103 8199
YJL027C 118 7952
RNR2 6 40
YJL026C-A 0 0
RRN7 6 84
APS3 23 386
PET130 0 0
YJL022W 0 0
BBC1 79 3855
YJL020W-A 5 100
MPS3 60 3629
YJL016W 100 5384
YJL015C 76 7628
CCT3 5 10
MAD3 111 8286
VTC4 94 4128
RPC17 0 0
NOP9 16 248
YJL009W 11 527
CCT8 5 5
YJL007C 52 6209
CTK2 9 320
CYR1 32 934
SYS1 28 1879
COX16 6 25
OST1 5 30
PRE3 5 10
AVT1 267 16525
MPP10 46 1932
YJR003C 197 12271
SAG1 227 16756
APL1 91 3035
LSO1 26 674
POL31 0 0
SUI2 11 251
MHO1 72 3416
TDH2 64 3722
MET3 95 4482
SPC1 25 983
YJR011C 22 367
YJR012C 54 2554
GPI14 3 2
TMA22 22 690
YJR015W 75 3511
ILV3 14 136
ESS1 4 5
YJR018W 17 128
TES1 85 8834
YJR020W 39 3242
REC107 78 3172
LSM8 0 0
YJR023C 2 1
MDE1 48 1314
BNA1 27 1788
YJR030C 115 7940
GEA1 115 6817
CPR7 9 70
RAV1 29 625
PET191 2 1
RAD26 69 4641
HUL4 44 1713
YJR037W 4 10
YJR038C 18 563
YJR039W 69 3917
GEF1 42 716
URB2 4 3
NUP85 10 133
POL32 36 1194
VPS55 10 26
SSC1 0 0
TAH11 3 2
ANB1 24 820
CYC1 6 176
UTR1 99 23855
ISY1 33 1770
OSM1 48 2454
RAD7 39 2269
BFA1 33 1282
KCH1 34 1090
HIT1 5 109
YJR056C 12 330
CDC8 0 0
APS2 21 883
PTK2 21 220
CBF1 6 72
YJR061W 71 4905
NTA1 23 703
RPA12 4 31
CCT5 7 9
ARP3 1 0
TOR1 61 1763
YAE1 0 0
RFC2 2 1
HAM1 17 328
LIA1 11 489
YJR071W 17 890
NPA3 17 398
OPI3 0 0
MOG1 15 317
HOC1 13 237
CDC11 16 133
MIR1 7 30
BNA2 103 7026
YJR079W 35 841
AIM24 16 339
EAF6 9 58
ACF4 17 126
YJR084W 26 1252
YJR085C 8 98
STE18 4 35
YJR087W 9 245
EMC2 16 488
BIR1 37 2067
GRR1 16 532
JSN1 47 2584
BUD4 83 3872
FIP1 4 68
IME1 40 1922
RPL43B 4 37
SFC1 32 925
YJR096W 31 837
JJJ3 3 8
YJR098C 28 830
YUH1 15 167
AIM25 16 856
RSM26 2 8
VPS25 0 0
URA8 102 5374
SOD1 2 17
ADO1 2 4
ECM27 55 3599
YJR107W 8 83
ABM1 44 1619
CPA2 27 320
YMR1 45 1973
YJR111C 29 1512
NNF1 0 0
YJR112W-A 26 2023
RSM7 4 44
YJR114W 4 5
YJR115W 33 2044
TDA4 38 1562
STE24 23 1264
ILM1 6 20
JHD2 55 2475
YJR120W 38 1402
ATP2 0 0
IBA57 2 2
RPS5 0 0
YJR124C 27 1515
ENT3 20 635
VPS70 27 1277
RSF2 150 9964
YJR128W 34 1463
EFM3 48 2261
STR2 25 458
MNS1 63 3347
NMD5 13 127
XPT1 23 470
SGM1 28 1284
MCM22 10 220
TIM8 2 1
TTI2 0 0
MET5 89 4984
IML1 8 229
HOM6 2 1
HIR3 44 1070
YJR140W-A 3 7
YJR141W 0 0
YJR142W 18 627
PMT4 21 288
MGM101 1 0
RPS4A 4 5
YJR146W 36 2987
HMS2 28 724
BAT2 81 3843
YJR149W 24 1346
DAN1 22 872
DAN4 22 836
YJR151W-A 5 43
DAL5 29 395
PGU1 10 120
YJR154W 78 3716
AAD10 38 3144
THI11 18 436
YJR157W 2 1
HXT16 7 7
SOR1 3 2
MPH3 16 102
COS5 6 14
YJR162C 9 15
YKL225W 18 346
PAU16 2 1
YKL223W 6 166
YKL222C 23 596
MCH2 59 1919
FRE2 22 614
COS9 16 626
SRY1 54 2548
JEN1 51 3838
URA1 11 289
OXP1 78 4088
YRA2 9 198
DOA1 2 1
SAC1 4 13
TRP3 26 921
UBA1 6 7
STE6 61 2527
CBT1 8 117
EMC3 12 501
ADD66 8 76
LOS1 21 174
EAP1 29 625
TOR2 14 19
YKL202W 7 224
MNN4 61 2707
PTK1 219 17868
PEX1 111 4176
YKT6 2 20
MIA40 5 45
MST1 2 1
SDS22 2 1
ACP1 2 1
DPH2 15 383
CNB1 11 347
HYM1 18 485
PXA2 26 1112
FAT3 73 4064
MTR2 10 54
ASH1 50 1370
SPE1 16 323
YKL183C-A 21 1446
LOT5 47 4067
FAS1 9 11
PRS1 0 0
RPL17A 0 0
COY1 16 503
STE3 18 495
YKL177W 4 192
LST4 18 291
ZRT3 32 1183
TPO5 10 112
SNU114 8 11
EBP2 5 57
NNK1 37 1581
MRPL38 1 0
YKL169C 2 17
KKQ8 34 1762
MRP49 8 210
TPK3 37 1431
YKL165C-A 13 71
MCD4 7 6
PIR1 11 73
PIR3 11 267
YKL162C-A 2 2
YKL162C 3 6
KDX1 18 132
ELF1 6 234
RCN1 10 194
APE2 58 3070
RPS27A 7 59
YKL156C-A 4 17
RSM22 8 67
SRP102 1 0
YKL153W 3 6
GPM1 2 2
YKL151C 69 3295
MCR1 22 276
DBR1 12 128
SDH1 19 266
YKL147C 34 1718
AVT3 39 1532
RPT1 1 0
YKL145W-A 0 0
RPC25 0 0
LTV1 17 936
MRP8 3 3
SDH3 0 0
TGL1 25 1114
CTK1 3 33
HSK3 2 1
MRPL31 1 0
CMC1 3 23
YKL136W 6 161
APL2 20 708
OCT1 6 8
YKL133C 18 243
RMA1 18 629
YKL131W 12 280
SHE2 9 99
MYO3 50 1158
PMU1 27 2276
PGM1 62 3133
YPK1 4 29
RRN3 13 416
SSH4 35 1117
YKL123W 2 1
SRP21 4 7
DGR2 25 949
OAC1 18 498
VPH2 6 216
YKL118W 15 806
SBA1 12 204
PRR1 28 825
YKL115C 20 184
APN1 25 1312
RAD27 17 313
ABF1 2 5
YKL111C 4 110
KTI12 21 557
HAP4 11 432
SLD2 10 544
YKL107W 11 263
YKL106C-A 10 568
AAT1 10 202
SEG2 78 2822
GFA1 2 1
APE1 38 1618
YKL102C 46 2347
HSL1 32 503
YPF1 26 1258
YKL100W-A 4 88
UTP11 2 1
MTC2 24 593
YKL097C 27 1493
YKL096C-B 4 12
CWP2 8 30
CWP1 19 424
YJU2 13 197
YJU3 12 350
MBR1 15 329
BUD2 34 1156
YKL091C 19 1011
CUE2 44 2471
MIF2 2 4
CAB3 6 31
CYT2 6 48
SRX1 63 2885
MDH1 14 149
HOT13 22 1204
YKL083W 2 1
RRP14 0 0
TEF4 22 338
VMA5 0 0
SMY1 27 756
DHR2 5 120
YKL077W 13 448
PSY1 6 22
YKL075C 24 701
MUD2 36 1673
LHS1 21 476
STB6 48 2704
YKL071W 22 1624
YKL070W 15 420
YKL069W 14 597
YKL068W-A 7 368
NUP100 40 2131
YNK1 14 154
YKL066W 41 1625
YKL065W-A 3 19
YET1 9 270
MNR2 65 3194
YKL063C 9 260
MSN4 19 343
BLI1 6 95
FBA1 2 1
MPE1 28 1170
TOA2 0 0
NUP120 3 4
TMA19 5 22
OAR1 0 0
DEF1 4 71
MDM35 3 9
YKL053W 21 275
ASK1 39 2190
SFK1 55 2547
YKL050C 56 3478
CSE4 1 0
ELM1 16 270
ANR2 38 1261
DCW1 36 1959
PRI2 11 199
YKL044W 13 118
PHD1 18 480
SPC42 4 31
VPS24 1 0
NFU1 18 185
PTM1 26 1933
RGT1 51 1495
AIM26 51 2264
YKL036C 40 1523
UGP1 2 1
TUL1 60 3449
YKL033W-A 17 350
TTI1 2 1
IXR1 74 3227
YKL031W 49 3134
YKL030W 112 9670
MAE1 243 16150
TFA1 9 92
TCD2 84 5377
GPX1 13 566
PAN3 72 4275
URA6 3 2
YKL023C-A 29 1684
YKL023W 31 1426
CDC16 34 1970
MAK11 33 1460
SPT23 48 2452
RAM2 2 1
YKL018C-A 15 615
SWD2 3 3
HCS1 99 3162
ATP7 5 37
PUT3 84 3975
URB1 14 181
ARC19 0 0
PRP40 29 564
CCE1 43 2050
UFD4 206 9629
MRT4 4 125
LAC1 99 6708
CAP1 52 2054
SFT1 9 140
RPL14A 2 1
BYE1 186 9945
AUR1 11 77
MRP17 1 0
DID4 14 295
MET14 64 1889
VPS1 2 2
PAP1 30 1162
OSH6 178 9128
ECM9 5 74
YKR005C 183 12324
MRPL13 5 89
MEH1 22 562
RSC4 3 3
FOX2 197 16581
TOF2 94 4697
YKR011C 55 3607
YKR012C 36 1197
PRY2 71 3106
YPT52 9 270
YKR015C 118 4326
MIC60 7 72
HEL1 65 2372
YKR018C 104 6065
IRS4 45 818
VPS51 0 0
ALY1 70 3469
NTR2 11 404
YKR023W 57 3208
DBP7 14 49
RPC37 10 322
GCN3 1 0
BCH2 87 4543
SAP190 42 2085
SET3 31 995
GMH1 19 850
SPO14 59 2137
YKR032W 51 3126
YKR033C 13 233
DAL80 27 1320
OPI8 3 2
DID2 3 2
CAF4 79 5164
SPC34 1 0
KAE1 2 2
GAP1 75 3351
YKR040C 41 1838
YKR041W 72 3977
UTH1 20 600
SHB17 42 1852
UIP5 91 5414
YKR045C 42 2195
PET10 13 629
YKR047W 9 144
NAP1 16 380
FMP46 9 93
TRK2 57 1792
YKR051W 29 1959
MRS4 10 387
YSR3 62 2899
DYN1 28 757
RHO4 14 591
TRM2 92 4342
RPS21A 5 104
GLG1 23 359
TIF1 9 199
UTP30 26 508
KTR2 45 2319
TFA2 2 12
LAS1 1 0
OAF3 44 1605
PAM17 4 41
CCP1 37 1381
GPT2 57 2161
BET3 1 0
MET1 44 1425
YKR070W 58 1952
DRE2 6 143
SIS2 31 631
YKR073C 33 1953
AIM29 10 144
YKR075C 25 1294
YKR075W-A 17 768
ECM4 46 2484
MSA2 28 351
YKR078W 31 1149
TRZ1 11 116
MTD1 21 1362
RPF2 0 0
NUP133 3 4
DAD2 0 0
HBS1 21 863
MRPL20 7 14
PRP16 23 415
OMA1 26 460
TVP38 20 916
TGL4 61 2429
PXL1 60 4135
SRL3 20 886
SRP40 46 1765
PTR2 60 3652
RPL40B 3 2
MLP1 41 1013
PCC1 1 0
ESL2 71 4770
PCK1 44 2247
UBP11 46 1722
BAS1 16 222
SKG1 23 432
SIR1 34 1113
FLO10 68 3590
NFT1 50 1633
YKR104W 9 249
VBA5 11 363
GEX2 35 2111
YLL067C 48 69
YLL067W-A 2 1
YLL066W-B 15 99
YLL066C 50 57
YLL066W-A 2 1
YLL065W 14 120
PAU18 1 0
AYT1 36 1838
MHT1 29 1500
MMP1 32 1365
GTT2 41 1234
YLL059C 50 3755
YLL058W 26 726
JLP1 46 3271
YLL056C 38 1299
YCT1 18 508
YLL054C 44 1335
YLL053C 15 1714
AQY2 13 77
FRE6 46 2401
COF1 3 10
LDB18 3 20
YBT1 72 3228
YLL047W 16 370
RNP1 23 725
RPL8B 9 33
YLL044W 6 55
FPS1 12 77
ATG10 2 41
SDH2 12 147
VPS13 141 8870
UBI4 10 254
ENT4 69 5354
YLL037W 18 217
PRP19 5 5
GRC3 6 7
RIX7 5 6
IRC19 0 0
YLL032C 37 1006
GPI13 9 13
RRT7 26 1250
FRA1 83 3248
TPO1 67 3137
ISA1 1 0
HSP104 80 5719
PAU17 35 681
SSA2 29 1399
POM33 45 1755
HIF1 45 2809
SPA2 92 3763
YLL020C 7 49
KNS1 58 1341
YLL019W-A 3 34
COX19 1 0
DPS1 4 3
BPT1 131 4775
EMC6 13 355
PUF3 120 8575
YEH1 176 14737
SOF1 7 27
PSR1 60 2658
COX17 3 4
DRS1 14 319
YLL007C 48 903
YLL006W-A 58 3836
MMM1 22 460
SPO75 116 4216
ORC3 3 2
SFI1 37 1652
RTT109 41 853
DNM1 64 1726
YLR001C 330 20851
NOC3 5 14
CMS1 77 1980
THI73 146 8887
SSL1 23 2225
SSK1 124 5734
NSE1 4 40
PAM18 1 0
RLP24 0 0
TEN1 0 0
LOT6 28 2810
YLR012C 11 278
GAT3 18 608
PPR1 93 5286
BRE2 28 756
PML1 63 4258
MEU1 41 2415
POM34 46 1835
PSR2 47 3061
YEH2 48 1672
IRC25 11 50
SDO1 4 4
IZH3 25 1207
UBR2 324 24877
SNF7 1 0
SED5 3 2
AAT2 2 1
ADE16 59 2732
RPL15A 0 0
YLR030W 18 597
YLR031W 15 555
RAD5 26 340
RSC58 1 0
SMF3 20 357
MLH2 77 6021
YLR036C 14 84
PAU23 10 325
COX12 1 0
RIC1 15 182
AFB1 12 95
YLR041W 2 1
YLR042C 15 353
TRX1 6 61
PDC1 18 681
STU2 26 844
YLR046C 12 150
FRE8 36 2141
RPS0B 3 8
YLR049C 18 517
YLR050C 10 70
FCF2 4 13
IES3 3 8
YLR053C 7 30
OSW2 54 2478
SPT8 16 174
ERG3 4 140
MNL2 40 1267
SHM2 3 3
REX2 66 4932
FRS1 5 6
RPL22A 2 11
BUD28 0 0
BMT6 13 230
PER33 9 257
ENV10 2 2
SPC3 3 5
PET309 6 7
FYV7 4 34
MEF1 7 35
XYL2 24 1227
RGR1 14 845
YLR072W 21 427
RFU1 34 626
BUD20 4 13
RPL10 0 0
YLR076C 0 0
FMP25 31 1783
BOS1 10 385
SIC1 1 0
EMP46 25 2333
GAL2 42 1187
SRL2 39 1373
EMP70 32 1488
RAX2 58 2647
ARP6 4 12
SMC4 5 9
CSF1 92 4524
GAA1 4 4
ALT1 3 8
XDJ1 36 1280
GEP5 6 181
SUL2 95 6319
NYV1 22 634
GIS3 83 5617
IOC2 34 364
KIN2 30 1258
HRT3 16 742
CHA4 34 1340
ICT1 16 427
MIM2 0 0
ERG27 3 3
YLR101C 9 233
APC9 12 102
CDC45 2 1
LCL2 15 520
SEN2 4 4
MDN1 15 40
REX3 26 1303
YLR108C 35 2567
AHP1 8 296
CCW12 11 100
YLR111W 17 566
YLR112W 18 707
HOG1 21 300
AVL9 21 301
CFT2 5 9
MSL5 14 373
CLF1 14 463
YLR118C 10 561
SRN2 17 597
YPS1 37 1224
YLR120W-A 8 286
YPS3 54 1278
YLR122C 9 99
YLR123C 4 66
YLR124W 19 343
YLR125W 7 76
YLR126C 18 225
APC2 9 22
DCN1 15 521
DIP2 3 3
ZRT2 49 1954
ACE2 115 9535
USB1 0 0
CKI1 16 248
PDC5 30 1424
SLX4 40 3908
TIS11 13 442
RKM5 72 4006
NHA1 38 1233
SLS1 0 0
YLR140W 35 590
RRN5 3 22
PUT1 25 1391
DPH6 13 86
ACF2 51 3235
RMP1 1 0
SPE4 17 356
YLR146W-A 1 0
SMD3 0 0
PEP3 12 247
YLR149C 13 849
YLR149C-A 2 3
STM1 16 208
PCD1 20 444
YLR152C 36 1388
ACS2 5 4
RNH203 10 471
YLR154W-A 21 98
YLR154W-B 37 128
TAR1 21 30
YLR154W-E 16 269
YLR154W-F 6 5
YLR154C-G 22 31
YLR154C-H 10 10
ASP3-1 12 11
YLR156W 5 4
YLR156C-A 6 5
ASP3-2 9 10
YLR157W-D 2 1
YLR157W-E 6 6
YLR157C-C 8 8
ASP3-3 14 13
YLR159W 6 5
YLR159C-A 6 5
ASP3-4 16 19
YLR161W 5 4
YLR162W 63 2691
RRT15 26 237
MAS1 3 3
YLR163W-A 0 0
SHH4 3 129
PUS5 15 382
SEC10 2 1
RPS31 1 0
UPS2 13 164
YLR169W 38 856
APS1 36 496
YLR171W 19 420
DPH5 10 84
YLR173W 48 2385
IDP2 27 758
CBF5 9 59
RFX1 25 765
YLR177W 26 922
TFS1 11 69
YLR179C 33 1109
SAM1 17 837
VTA1 8 104
SWI6 6 107
TOS4 37 1749
YLR184W 16 524
RPL37A 2 1
EMG1 1 0
SKG3 37 994
MDL1 63 3591
ATG26 33 862
MMR1 20 941
PEX13 13 213
HCR1 6 130
UPS1 5 258
YLR194C 14 404
NMT1 1 0
PWP1 10 194
NOP56 6 18
YLR198C 5 16
PBA1 13 310
YKE2 5 22
COQ9 2 1
YLR202C 29 778
MSS51 2 1
QRI5 1 0
HMX1 29 1493
ENT2 9 157
HRD3 36 1353
SEC13 1 0
PNP1 19 559
CLB4 6 43
ATG38 7 72
TUB4 8 27
CRR1 34 1080
FRE1 14 430
CDC123 6 71
CPR6 22 1188
YLR217W 11 498
COA4 27 727
MSC3 21 1048
CCC1 16 694
RSA3 12 987
UTP13 3 3
YLR222C-A 1 0
IFH1 25 1705
YLR224W 23 344
YLR225C 16 426
BUR2 6 18
ADY4 34 1179
ECM22 29 387
CDC42 1 0
YLR230W 2 1
BNA5 23 752
YLR232W 14 297
EST1 33 1526
TOP3 0 0
YLR235C 21 691
YLR236C 48 2677
THI7 47 2095
FAR10 18 375
LIP2 2 1
VPS34 2 1
CSC1 11 66
ARV1 4 33
GPN3 0 0
MAP1 4 5
CDD1 5 189
ERF2 21 516
IRC20 34 788
RCK2 22 551
YEF3 3 3
SSP120 1 0
SYM1 1 0
YLR252W 2 4
MCP2 32 1128
NDL1 11 118
YLR255C 56 1545
HAP1 55 1652
YLR257W 15 250
GSY2 42 2516
HSP60 4 4
LCB5 36 1471
VPS63 0 0
YPT6 0 0
TMA7 5 96
RED1 33 1075
RPS28B 0 0
YLR264C-A 0 0
NEJ1 8 100
PDR8 35 1514
BOP2 11 181
SEC22 1 0
YLR269C 17 768
DCS1 13 207
YLR271W 10 79
YCS4 5 10
PIG1 22 421
MCM5 4 3
SMD2 2 1
DBP9 1 0
YSH1 0 0
YLR278C 40 1632
YLR279W 43 1152
YLR280C 43 1349
YLR281C 46 1457
YLR282C 13 207
YLR283W 13 768
ECI1 13 575
NNT1 4 32
YLR285C-A 7 155
CTS1 9 158
YLR286W-A 0 0
YLR287C 11 335
RPS30A 2 2
