gene_name number_of_transposon_per_gene number_of_read_per_gene
YBR241C 67 4742
YBR242W 16 838
ALG7 0 0
GPX2 9 135
ISW1 49 1772
RRT2 10 174
ENP1 3 2
HIS7 16 534
ARO4 10 355
SPO23 25 480
MRPS5 0 0
DUT1 0 0
SRB6 5 50
TRS20 0 0
MTC4 35 1390
YBR255C-A 3 36
RIB5 4 132
POP4 2 5
SHG1 10 52
YBR259W 28 1058
RGD1 26 1081
TAE1 12 232
MIC12 5 58
SHM1 21 359
YPT10 13 173
TSC10 4 15
REI1 10 332
SLM6 2 5
MRPL37 2 2
SDH8 7 60
BIT2 35 900
EFM2 25 592
HSM3 8 27
UBX7 20 193
CHK1 17 737
RIF1 86 3305
PPS1 39 2147
YBR277C 14 395
DPB3 16 460
PAF1 9 108
SAF1 27 1134
DUG2 38 4808
MRPL27 2 5
SSH1 8 38
YBR284W 58 3161
YBR285W 4 8
APE3 40 2194
YBR287W 29 346
APM3 9 102
SNF5 20 258
BSD2 11 436
CTP1 71 5133
YBR292C 17 332
VBA2 21 935
SUL1 40 1680
PCA1 60 2186
PHO89 36 1350
YBR296C-A 4 21
MAL33 41 818
MAL31 19 426
YBR298C-A 15 1364
MAL32 17 486
YBR300C 10 52
PAU24 4 4
COS2 1 0
YCL076W 0 0
GEX1 14 37
VBA3 3 6
YCL068C 4 5
HMLALPHA2 0 0
HMLALPHA1 2 1
YCL065W 1 0
CHA1 2 5
VAC17 11 403
MRC1 19 464
KRR1 3 19
FYV5 12 351
ADF1 3 8
MIC10 4 9
PRD1 41 2083
PEX34 8 100
KAR4 12 129
RDT1 0 0
SPB1 6 6
PBN1 4 33
LRE1 36 1724
APA1 24 648
YCL049C 18 193
YCL048W-A 6 30
SPS22 37 2076
POF1 10 340
EMC1 31 1374
YCL046W 5 10
MGR1 7 16
PDI1 5 7
YCL041C 54 289
YCL042W 24 767
GLK1 130 8084
GID7 55 2438
ATG22 38 849
SRO9 38 1997
GFD2 89 4028
GRX1 9 298
LSB5 37 1420
MXR2 23 468
STE50 26 745
RRP7 2 2
HIS4 59 1985
BIK1 100 2667
RNQ1 29 908
FUS1 40 1993
HBN1 15 288
FRM2 27 717
AGP1 98 5020
YCL023C 43 2185
KCC4 163 6396
YCL022C 43 1568
YCL021W-A 45 1359
LEU2 71 3771
NFS1 1 0
DCC1 18 449
BUD3 393 20779
YCL012C 46 1082
GBP2 86 2615
SGF29 37 2380
ILV6 91 6750
STP22 39 2505
YCL007C 14 474
VMA9 2 1
LDB16 57 1999
PGS1 13 385
YCL002C 89 4427
RER1 58 716
YCL001W-A 21 204
YCL001W-B 16 186
YCR001W 29 1562
CDC10 6 71
MRPL32 15 580
YCP4 36 1827
CIT2 157 10711
YCR006C 220 10231
YCR007C 61 2100
SAT4 86 4867
RVS161 8 81
ADY2 54 2237
ADP1 156 8569
PGK1 5 28
YCR013C 7 227
POL4 92 2981
YCR015C 51 1703
YCR016W 27 661
CWH43 38 1647
SRD1 21 364
YCR018C-A 15 371
MAK32 60 3991
PET18 40 1050
MAK31 4 18
HTL1 1 0
HSP30 30 1660
YCR022C 40 2453
YCR023C 82 3425
SLM5 5 16
YCR024C-B 9 145
PMP1 2 3
YCR025C 52 2193
NPP1 99 4448
RHB1 16 264
FEN2 11 266
RIM1 1 0
SYP1 56 2075
RPS14A 13 254
BPH1 95 2915
SNT1 33 821
ELO2 19 475
RRP43 3 6
RBK1 35 1412
PHO87 72 4986
BUD5 20 171
YCR038W-A 0 0
MATALPHA2 0 0
MATALPHA1 1 0
YCR041W 0 0
TAF2 15 114
YCR043C 14 546
PER1 5 5
RRT12 65 3310
YCR045W-A 26 763
IMG1 2 1
BUD23 8 23
YCR047W-A 0 0
YCR049C 18 608
ARE1 58 3122
YCR050C 5 138
YCR051W 19 736
RSC6 3 7
THR4 1 0
CTR86 9 40
PWP2 8 41
YIH1 41 2415
TAH1 6 47
YCR061W 171 12901
YCR064C 33 2120
BUD31 7 54
HCM1 21 504
RAD18 7 12
SED4 54 1421
ATG15 40 1085
CPR4 27 1114
IMG2 1 0
RSA4 4 3
SSK22 59 1327
SOL2 23 972
ERS1 28 1058
YCR075W-A 3 50
FUB1 11 179
PAT1 7 40
PTC6 16 149
SRB8 16 92
YCR081C-A 2 5
AHC2 6 35
TRX3 11 356
TUP1 2 3
YCR085W 5 94
CSM1 8 251
YCR087W 8 437
YCR087C-A 6 347
ABP1 40 1883
FIG2 52 1780
YCR090C 10 348
KIN82 40 1726
MSH3 63 1558
CDC39 15 46
CDC50 2 7
OCA4 17 204
YCR095W-A 12 408
HMRA2 0 0
HMRA1 0 0
YCR097W-A 0 0
GIT1 24 575
YCR099C 4 3
YCR100C 25 714
YCR101C 8 24
YCR102C 35 1423
YCR102W-A 0 0
PAU3 7 64
ADH7 52 1764
RDS1 36 1302
AAD3 38 931
